SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2025,1630461,Kiana Williams,Kiana,1611661317,PHX,Phoenix Mercury,1022500101,2025-06-27T00:00:00,PHX vs. NYL,W,2.816666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,-2,2.0,0,0,2.0,1,1,1,1,1884,1232,1523,497,860,1100,860,1043,1084,1043,951,1580,1675,1407,1314,970,545,1,1,1380,1448,1070,1772,111,3,1763,2,2:49
2025,1642774,Murjanatu Musa,Murjanatu,1611661317,PHX,Phoenix Mercury,1022500101,2025-06-27T00:00:00,PHX vs. NYL,W,3.45,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,2,-2,4.4,0,0,4.0,1,1,1,1,1858,1232,1685,1,860,1440,860,1043,1084,1043,454,1186,1060,1407,1314,970,545,1,1,1380,1448,1070,1626,111,3,1635,2,3:27
2025,1641660,Zia Cooke,Zia,1611661328,SEA,Seattle Storm,1022500102,2025-06-27T00:00:00,SEA vs. CON,W,24.016666666666666,4,9,0.444,1,4,0.25,0,0,0.0,1,0,1,2,3,0,0,0,4,0,9,0,10.2,0,0,13.0,1,1,1,1,833,523,552,823,466,385,712,1043,1084,1043,454,1580,1360,626,168,970,545,1,1622,1380,755,881,1290,111,3,1087,1,24:01
2025,1629496,Ezi Magbegor,Ezi,1611661328,SEA,Seattle Storm,1022500102,2025-06-27T00:00:00,SEA vs. CON,W,19.518333333333334,5,6,0.833,0,1,0.0,2,2,1.0,2,3,5,3,0,1,2,0,2,1,12,19,31.5,0,0,26.0,1,1,1,1,1101,348,920,87,860,1100,860,469,591,1,225,588,444,398,1314,397,55,1,832,947,517,112,331,111,3,456,1,19:31
2025,203400,Skylar Diggins,Skylar,1611661328,SEA,Seattle Storm,1022500102,2025-06-27T00:00:00,SEA vs. CON,W,28.033333333333335,8,14,0.571,2,4,0.5,6,7,0.857,1,0,1,5,1,1,0,0,2,7,24,23,34.7,0,0,34.0,1,1,1,1,582,76,190,398,205,385,255,82,102,516,454,1580,1360,168,780,397,545,1,832,39,77,61,261,111,3,222,1,28:02
2025,1628263,Lindsay Allen,Lindsay,1611661323,CON,Connecticut Sun,1022500102,2025-06-27T00:00:00,CON @ SEA,L,24.016666666666666,2,5,0.4,0,0,0.0,0,0,0.0,0,0,0,2,2,0,0,0,4,0,4,-15,5.0,0,0,6.0,1,988,988,988,833,946,1062,940,860,1440,860,1043,1084,1043,951,1580,1675,626,398,970,545,1,1622,1380,1208,1776,1592,111,3,1511,1,24:01
2025,203398,Brittney Griner,Brittney,1611661330,ATL,Atlanta Dream,1022500098,2025-06-27T00:00:00,ATL vs. MIN,L,28.485,6,10,0.6,0,0,0.0,4,4,1.0,2,5,7,1,3,0,1,0,4,3,16,-9,25.9,0,0,26.0,1,988,988,988,550,231,462,338,860,1440,860,210,309,1,225,250,234,943,168,970,186,1,1622,397,292,1556,501,111,3,456,2,28:29
2025,1631019,NaLyssa Smith,NaLyssa,1611661321,DAL,Dallas Wings,1022500099,2025-06-27T00:00:00,DAL vs. IND,L,25.95,3,8,0.375,0,1,0.0,1,3,0.333,4,6,10,2,2,0,0,1,5,2,7,-5,20.0,0,0,19.0,1,988,988,988,722,728,666,1030,860,1100,860,808,475,1007,42,145,70,626,398,970,545,1346,1847,600,921,1314,777,111,3,767,1,25:57
2025,1642301,Marquesha Davis,Marquesha,1611661313,NYL,New York Liberty,1022500101,2025-06-27T00:00:00,NYL @ PHX,L,7.9,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,1,1,6,2.2,0,0,2.0,1,988,988,988,1676,1580,1685,1580,860,1100,860,808,591,820,951,1186,1360,1407,1314,970,545,1,376,947,1642,482,1766,111,3,1763,2,7:54
2025,1642815,Makayla Timpson,Makayla,1611661325,IND,Indiana Fever,1022500099,2025-06-27T00:00:00,IND @ DAL,W,13.85,0,2,0.0,0,0,0.0,3,4,0.75,1,1,2,0,0,1,0,0,4,2,3,-3,8.4,0,0,7.0,1,1,1,1,1421,1580,1523,1580,860,1440,860,323,309,618,454,1186,1060,1407,1314,397,545,1,1622,600,1328,1170,1406,111,3,1449,1,13:51
