TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG_PCT,OPP FG3M,OPP FG3A,OPP FG3_PCT,OPP FTM,OPP FTA,OPP FT_PCT,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,PLUS_MINUS
Atlanta Dream,23,13,10,2.0,1.5,3.2,,,,,0.7,1.0,,0.3,1.3,1.6,1.1,0.8,0.3,0.2,0.1,1.1,1.1,4.2,
Chicago Sky,23,7,16,12.5,9.9,21.9,,,,,5.8,7.3,,3.0,8.4,11.5,6.1,4.1,2.6,1.5,1.5,6.2,6.8,28.1,
Connecticut Sun,20,4,16,7.2,5.1,11.6,,,,,3.1,4.0,,1.6,4.4,6.0,3.5,2.9,1.2,0.8,1.0,3.9,4.0,14.9,
Dallas Wings,16,12,4,1.8,1.4,3.1,,,,,0.9,1.1,,0.3,1.2,1.5,0.8,0.5,0.2,0.2,0.1,1.1,0.8,4.1,
Golden State Valkyries,24,17,7,4.5,2.9,7.3,,,,,1.7,2.2,,1.0,3.0,4.0,2.1,1.6,0.7,0.4,0.6,2.0,2.1,8.4,
Indiana Fever,23,14,9,8.4,6.7,14.4,,,,,3.9,5.0,,1.5,4.7,6.2,4.2,2.6,1.6,0.8,0.9,4.8,4.7,18.7,
Las Vegas Aces,23,16,7,8.0,6.0,13.9,,,,,2.8,3.5,,1.5,4.9,6.5,3.6,2.6,1.4,0.4,1.1,3.8,3.4,16.6,
Minnesota Lynx,15,11,4,1.9,1.2,3.1,,,,,1.1,1.5,,0.5,1.1,1.6,0.9,0.6,0.3,0.2,0.3,0.8,1.3,3.8,
New York Liberty,24,13,11,8.8,6.8,15.6,,,,,2.9,3.9,,2.1,5.0,7.0,4.5,2.8,1.7,0.7,0.9,4.6,4.0,18.3,
Phoenix Mercury,21,7,14,5.9,4.3,9.7,,,,,2.0,2.5,,1.1,3.7,4.8,2.8,2.2,1.1,0.7,0.5,3.1,2.6,12.2,
Portland Fire,23,10,13,9.8,7.6,16.5,,,,,4.4,5.7,,2.4,5.7,8.1,5.6,3.3,2.0,1.1,1.0,4.4,5.5,21.9,
Seattle Storm,25,6,19,12.0,9.0,21.2,,,,,5.4,6.7,,3.0,7.7,10.7,6.2,4.1,2.5,1.1,1.3,4.9,6.0,25.8,
Toronto Tempo,16,5,11,2.9,2.5,5.2,,,,,1.3,1.6,,0.7,1.9,2.7,1.5,0.9,0.6,0.3,0.2,1.3,1.6,7.0,
Washington Mystics,21,11,10,8.8,6.2,14.8,,,,,3.4,4.3,,1.9,4.9,6.7,4.0,3.2,2.2,1.1,0.7,5.2,4.4,17.6,
