TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG_PCT,OPP FG3M,OPP FG3A,OPP FG3_PCT,OPP FTM,OPP FTA,OPP FT_PCT,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,PLUS_MINUS
Atlanta Dream,23,13,10,12.9,9.7,20.4,,,,,4.9,6.2,,2.0,7.7,9.7,6.3,5.6,1.9,1.7,0.9,7.0,6.1,26.9,
Chicago Sky,23,7,16,8.6,6.7,15.0,,,,,4.2,5.2,,2.1,6.0,8.1,4.0,2.9,1.7,1.2,1.1,4.4,4.5,19.2,
Connecticut Sun,23,5,18,18.6,13.5,29.5,,,,,9.0,11.5,,3.6,11.5,15.1,9.0,7.3,3.5,2.3,2.0,9.8,10.6,39.9,
Dallas Wings,24,16,8,15.7,12.1,26.2,,,,,5.8,7.4,,2.9,10.3,13.2,7.9,5.4,2.1,1.3,1.3,6.8,7.2,33.2,
Golden State Valkyries,24,17,7,23.9,15.7,37.5,,,,,9.3,12.4,,4.6,15.0,19.6,10.9,8.7,3.5,2.3,2.6,11.9,11.9,45.5,
Indiana Fever,23,14,9,15.4,11.9,26.2,,,,,7.2,9.0,,2.8,8.8,11.5,7.5,5.0,2.8,1.5,1.5,8.5,8.7,33.6,
Las Vegas Aces,24,17,7,14.2,10.9,24.9,,,,,5.3,6.6,,2.8,9.0,11.8,6.6,4.3,2.5,0.8,1.8,6.5,5.9,30.3,
Los Angeles Sparks,21,10,11,20.7,17.2,36.3,,,,,8.9,11.3,,4.9,13.8,18.7,11.5,7.3,4.3,2.4,1.6,11.8,10.6,48.2,
Minnesota Lynx,23,17,6,14.5,10.3,25.0,,,,,5.7,7.2,,3.4,8.5,11.9,7.1,5.7,2.9,1.2,1.8,6.4,6.8,29.5,
New York Liberty,24,13,11,15.3,11.9,27.0,,,,,5.1,7.1,,3.2,8.6,11.8,7.8,4.4,2.8,1.2,1.4,8.1,7.4,32.1,
Phoenix Mercury,24,8,16,29.7,23.2,49.9,,,,,10.3,13.0,,5.4,19.2,24.6,15.7,10.1,5.6,2.8,2.4,15.5,13.3,64.2,
Portland Fire,23,10,13,18.7,14.7,31.3,,,,,8.4,10.9,,4.5,11.1,15.5,10.8,6.6,3.7,2.1,1.9,8.7,10.3,41.9,
Seattle Storm,24,6,18,6.3,4.3,10.4,,,,,2.9,3.6,,1.5,4.4,5.8,2.9,2.3,1.4,0.7,0.7,2.9,3.1,12.5,
Toronto Tempo,23,10,13,17.8,14.5,31.1,,,,,8.2,10.4,,4.6,10.8,15.4,9.4,6.1,3.0,1.6,1.4,9.0,9.8,40.9,
Washington Mystics,21,11,10,11.6,8.5,19.9,,,,,4.4,5.7,,2.4,6.3,8.7,5.6,3.8,2.9,1.4,1.0,6.8,5.8,23.6,
