TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG_PCT,OPP FG3M,OPP FG3A,OPP FG3_PCT,OPP FTM,OPP FTA,OPP FT_PCT,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,PLUS_MINUS
Atlanta Dream,23,13,10,25.2,19.3,40.1,,,,,9.6,12.5,,3.9,15.3,19.1,12.6,10.9,3.9,3.2,1.8,13.9,12.3,53.7,
Chicago Sky,23,7,16,26.5,20.4,46.4,,,,,12.7,15.7,,6.4,17.9,24.3,12.6,9.1,5.1,3.1,3.3,13.7,14.3,58.4,
Connecticut Sun,23,5,18,20.0,14.7,32.1,,,,,9.4,12.2,,4.0,12.5,16.5,9.8,7.7,3.7,2.3,2.3,10.5,11.3,43.2,
Dallas Wings,24,16,8,23.3,18.1,39.1,,,,,8.8,11.0,,4.3,15.3,19.6,11.6,7.9,3.1,1.9,2.0,10.3,10.6,49.5,
Golden State Valkyries,24,17,7,16.1,10.6,25.2,,,,,6.6,8.7,,3.1,9.7,12.8,7.4,5.7,2.4,1.7,1.7,8.3,8.4,30.8,
Indiana Fever,23,14,9,25.0,19.5,42.7,,,,,12.2,15.6,,4.5,14.4,18.8,12.1,8.0,4.6,2.5,2.4,14.1,14.6,55.5,
Las Vegas Aces,24,17,7,20.4,15.7,35.4,,,,,8.1,10.1,,4.0,12.8,16.8,9.6,6.5,3.4,1.2,2.5,10.2,9.1,44.1,
Los Angeles Sparks,21,10,11,24.9,20.7,43.6,,,,,10.7,13.6,,5.8,16.6,22.5,13.8,8.8,5.0,2.9,1.8,13.9,12.7,57.9,
Minnesota Lynx,23,17,6,24.2,16.8,41.3,,,,,10.1,12.9,,5.7,14.1,19.8,11.7,9.4,4.6,2.1,3.0,10.6,11.7,49.0,
New York Liberty,24,13,11,19.4,15.2,34.5,,,,,6.4,8.8,,4.5,11.1,15.6,9.9,6.0,3.6,1.4,1.9,10.0,9.3,41.0,
Phoenix Mercury,24,8,16,24.9,19.4,41.8,,,,,8.5,10.7,,4.7,16.3,21.0,13.1,8.7,4.6,2.4,2.1,12.7,11.0,53.5,
Portland Fire,23,10,13,15.4,11.9,25.5,,,,,7.4,9.4,,3.7,8.8,12.5,8.8,5.5,3.2,1.7,1.6,7.3,8.9,34.4,
Seattle Storm,25,6,19,22.9,17.0,39.8,,,,,10.3,12.6,,5.7,15.0,20.6,11.5,8.0,4.7,2.1,2.5,10.2,11.7,48.6,
Toronto Tempo,23,10,13,20.4,16.3,35.1,,,,,9.4,12.0,,5.1,12.7,17.7,10.7,7.1,3.4,1.7,1.7,10.4,11.5,46.3,
Washington Mystics,21,11,10,21.1,15.0,35.2,,,,,8.7,11.0,,4.3,11.8,16.1,9.8,7.4,5.1,2.4,1.8,12.4,10.9,43.1,
