Player,Team,Age,Height,Weight,College,Country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
A'ja Wilson,LVA,29,6-4,195,South Carolina,USA,22,25.5,9.8,2.9,11.6,6.7%,24.1%,32.5%,60.6%,16.0%
Aaliyah Edwards,CON,24,6-3,206,Connecticut,Canada,17,9.1,3.6,0.8,-17.2,6.3%,12.7%,21.9%,55.8%,8.8%
Aaliyah Nye,ATL,23,6-0,-,Alabama,USA,12,0.3,0.0,0.2,-9.9,0.0%,0.0%,11.1%,30.0%,11.1%
Aicha Coulibaly,CHI,24,6-0,-,Texas A&M,Mali,13,4.8,2.8,0.6,11.4,4.9%,16.4%,17.3%,49.6%,6.1%
Alanna Smith,DAL,29,6-4,177,Stanford,Australia,20,3.8,2.9,1.1,-6.6,5.8%,15.5%,15.6%,45.2%,11.2%
Alex Fowler,NYL,24,6-2,-,Portland,Australia,2,6.0,0.0,0.5,-20.0,0.0%,0.0%,19.4%,55.1%,5.6%
Alex Wilson,WAS,32,5-9,164,None,Australia,4,3.0,1.8,0.8,-19.3,7.6%,3.0%,12.6%,36.8%,10.0%
Alicia Florez,WAS,22,5-9,166,None,Spain,12,4.9,2.4,3.5,-3.2,3.0%,10.0%,18.6%,38.0%,29.8%
Alissa Pili,LAS,25,5-11,235,Utah,USA,2,2.0,2.5,1.0,-8.1,8.0%,20.0%,8.3%,50.0%,16.7%
Aliyah Boston,IND,24,6-5,217,South Carolina,USA,21,17.3,8.8,2.8,8.7,7.2%,25.6%,25.7%,61.5%,16.9%
Allisha Gray,ATL,31,6-0,167,South Carolina,USA,23,18.7,3.2,2.3,7.7,1.7%,8.8%,22.9%,54.9%,11.6%
Alysha Clark,DAL,39,5-11,167,Middle Tennessee,USA,16,2.3,1.0,0.4,1.0,2.6%,8.3%,11.7%,53.9%,6.9%
Alyssa Thomas,PHX,34,6-2,203,Maryland,USA,22,14.2,6.8,7.9,-4.5,4.9%,16.6%,22.0%,55.4%,41.3%
Amy Okonkwo,ATL,29,6-2,-,Texas Christian,USA,1,1.0,1.0,0.0,8.3,0.0%,33.3%,66.7%,26.6%,0.0%
Anastasiia Olairi Kosu,MIN,21,6-1,200,None,Russia,22,4.0,2.2,0.8,13.6,12.6%,8.1%,16.0%,54.9%,10.1%
Aneesah Morrow,CON,23,6-1,178,Louisiana State,USA,17,10.5,9.4,1.5,-12.7,11.0%,29.5%,24.0%,46.0%,12.1%
Angel Reese,ATL,24,6-4,165,Louisiana State,USA,22,15.0,11.7,2.5,5.8,15.3%,23.5%,24.6%,49.3%,14.0%
Angela Dugalic,WAS,24,6-4,199,UCLA,USA,21,4.1,3.1,0.8,-12.1,5.6%,21.2%,16.9%,48.7%,11.9%
Anneli Maley,NYL,27,6-1,-,None,Australia,5,0.2,1.0,0.0,22.3,5.1%,7.5%,6.2%,8.5%,0.0%
Antonia Delaere,MIN,31,5-11,155,None,Belgium,23,3.3,0.7,1.4,12.2,1.7%,3.6%,9.3%,64.7%,13.6%
Ariel Atkins,LAS,29,5-10,167,Texas-Austin,USA,19,8.7,2.8,2.4,-3.1,2.6%,8.8%,18.5%,47.0%,14.2%
Arike Ogunbowale,DAL,29,5-8,165,Notre Dame,USA,24,13.3,3.0,2.8,3.8,3.0%,7.8%,21.9%,49.3%,14.1%
Ashlon Jackson,CON,22,6-0,170,Duke,USA,6,1.7,1.0,0.8,-33.3,0.0%,8.5%,10.1%,46.0%,16.7%
Ashten Prechtel,GSV,25,6-5,-,Stanford,USA,1,5.0,1.0,0.0,-28.8,25.0%,0.0%,28.6%,83.3%,0.0%
Aubrey Griffin,NYL,24,6-1,160,Connecticut,-,4,0.5,0.3,0.0,-5.0,0.0%,7.1%,8.7%,100.0%,0.0%
Awa Fam,SEA,20,6-4,-,None,Spain,19,10.9,5.3,1.9,-4.8,5.0%,11.8%,17.1%,57.2%,10.7%
Awak Kuier,DAL,24,6-6,168,None,Finland,21,5.6,3.2,1.0,8.1,4.7%,14.5%,14.9%,58.1%,8.4%
Aziaha James,DAL,23,5-10,-,North Carolina State,USA,24,6.3,2.5,1.3,4.2,4.9%,15.4%,24.2%,46.8%,17.3%
Azura Stevens,CHI,30,6-6,180,Connecticut,USA,18,10.9,6.7,2.3,-7.9,6.5%,22.3%,22.1%,49.2%,16.2%
Azzi Fudd,DAL,23,5-11,-,Connecticut,USA,23,13.3,1.7,1.9,9.4,1.5%,4.2%,18.1%,55.3%,8.7%
