Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Tiffany Hayes,GS,GS vs. MIN,08/20/2026,2026,L,25,12,5,12,41.7,0,5,0.0,2,2,100.0,4,3,7,2,1,2,2,4,-8
Nia Coffey,MIN,MIN @ GS,08/20/2026,2026,W,15,0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,2,-1
Natasha Howard,MIN,MIN @ GS,08/20/2026,2026,W,34,8,4,7,57.1,0,1,0.0,0,0,0.0,3,3,6,4,0,2,7,4,+12
Napheesa Collier,MIN,MIN @ GS,08/20/2026,2026,W,37,18,5,12,41.7,0,2,0.0,8,8,100.0,0,8,8,0,0,0,3,1,+15
Courtney Williams,MIN,MIN @ GS,08/20/2026,2026,W,29,9,4,9,44.4,1,2,50.0,0,0,0.0,1,2,3,7,0,0,1,4,+9
Kayla McBride,MIN,MIN @ GS,08/20/2026,2026,W,36,20,6,13,46.2,3,7,42.9,5,6,83.3,0,1,1,1,1,0,1,3,+6
Gabby Williams,GS,GS vs. MIN,08/20/2026,2026,L,31,10,4,15,26.7,1,7,14.3,1,1,100.0,1,0,1,2,2,0,3,0,-11
Cecilia Zandalasini,GS,GS vs. MIN,08/20/2026,2026,L,30,8,3,15,20.0,1,9,11.1,1,2,50.0,0,6,6,3,0,0,1,5,-2
Veronica Burton,GS,GS vs. MIN,08/20/2026,2026,L,36,14,4,9,44.4,2,6,33.3,4,4,100.0,2,2,4,7,4,0,2,5,-3
Janelle Salaun,GS,GS vs. MIN,08/20/2026,2026,L,24,15,6,12,50.0,2,5,40.0,1,2,50.0,3,3,6,3,0,0,0,2,+4
Kamilla Cardoso,CHI,CHI vs. NY,08/19/2026,2026,W,32,17,6,12,50.0,0,0,0.0,5,7,71.4,6,6,12,4,2,1,1,2,+13
Zaay Green,TOR,TOR @ WSH,08/19/2026,2026,L,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-2
Teonni Key,TOR,TOR @ WSH,08/19/2026,2026,L,17,8,3,6,50.0,0,2,0.0,2,2,100.0,0,2,2,1,1,0,1,1,+7
Laura Juskaite,TOR,TOR @ WSH,08/19/2026,2026,L,29,12,6,12,50.0,0,3,0.0,0,0,0.0,0,2,2,4,1,0,1,3,-14
Aneesah Morrow,TOR,TOR @ WSH,08/19/2026,2026,L,23,13,4,13,30.8,2,5,40.0,3,5,60.0,3,5,8,0,1,0,0,4,-12
Gabriela Jaquez,CHI,CHI vs. NY,08/19/2026,2026,W,14,4,2,3,66.7,0,1,0.0,0,0,0.0,1,3,4,0,1,0,3,0,-4
Natasha Cloud,CHI,CHI vs. NY,08/19/2026,2026,W,35,35,13,21,61.9,4,8,50.0,5,6,83.3,1,8,9,6,0,0,3,3,+4
Sabrina Ionescu,NY,NY @ CHI,08/19/2026,2026,L,34,18,7,17,41.2,2,10,20.0,2,2,100.0,1,6,7,12,1,1,4,1,+4
Azura Stevens,CHI,CHI vs. NY,08/19/2026,2026,W,23,12,5,9,55.6,0,1,0.0,2,2,100.0,3,4,7,2,0,1,1,4,+14
Marine Fauthoux,NY,NY @ CHI,08/19/2026,2026,L,8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,-6
Marine Johannes,NY,NY @ CHI,08/19/2026,2026,L,21,3,1,5,20.0,1,3,33.3,0,0,0.0,0,1,1,2,0,0,1,0,-10
Han Xu,NY,NY @ CHI,08/19/2026,2026,L,26,12,4,11,36.4,2,7,28.6,2,2,100.0,2,5,7,0,0,1,2,5,+3
Angela Dugalic,WSH,WSH vs. TOR,08/19/2026,2026,W,5,4,1,3,33.3,0,1,0.0,2,2,100.0,1,0,1,0,0,0,0,0,0
Breanna Stewart,NY,NY @ CHI,08/19/2026,2026,L,35,22,8,13,61.5,1,3,33.3,5,6,83.3,2,5,7,3,3,1,2,3,-4
Ornella Bankole,TOR,TOR @ WSH,08/19/2026,2026,L,15,5,2,2,100.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,0,4,-2
