name,team,projected_points,position
Gabby Williams,GSV,11.1,Unknown
Marina Mabrey,TOR,13.8,Unknown
Veronica Burton,GSV,12.299999999999999,Unknown
Isabelle Harrison,TOR,13.8,Unknown
Nyara Sabally,TOR,9.0,Unknown
Maria Conde,TOR,0.0,Unknown
Kayla Thornton,GSV,13.8,Unknown
Cecilia Zandalasini,GSV,13.2,Unknown
Courtney Williams,MIN,14.399999999999999,Unknown
Kayla McBride,MIN,13.5,Unknown
Natasha Howard,MIN,14.1,Unknown
Kennedy Burke,CON,11.1,Unknown
Nia Coffey,MIN,11.1,Unknown
Brittney Griner,CON,14.1,Unknown
Olivia Nelson-Ododa,CON,11.4,Unknown
Caitlin Clark,IND,15.9,Unknown
Erica Wheeler,LAS,12.0,Unknown
Kelsey Mitchell,IND,19.2,Guard
Nneka Ogwumike,LAS,17.7,Forward
Rae Burrell,LAS,12.299999999999999,Unknown
Ariel Atkins,LAS,13.8,Unknown
Aliyah Boston,IND,15.0,Unknown
Dearica Hamby,LAS,17.7,Forward
Monique Billings,IND,12.0,Unknown
Sophie Cunningham,IND,10.200000000000001,Unknown
Lexie Hull,IND,8.100000000000001,Unknown
Rhyne Howard,ATL,15.0,Unknown
Natisha Hiedeman,SEA,14.399999999999999,Unknown
Jordin Canada,ATL,12.0,Unknown
Flau'jae Johnson,SEA,0.0,Unknown
Angel Reese,ATL,13.8,Unknown
Dominique Malonga,SEA,16.200000000000003,Unknown
Allisha Gray,ATL,15.9,Unknown
Carla Leite,PDX,12.6,Unknown
Bridget Carleton,PDX,6.9,Unknown
Leila Lacan,CON,11.700000000000001,Unknown
Olivia Miles,MIN,0.0,Unknown
